Issue Type,Summary,Description,Priority,Labels,Epic Link,Story Points
Task,Genomsnittligt korrigeringsavstånd,Beräkna och visa genomsnittligt korrigeringsavstånd för alla korrigerade positioner.,Highest,TestLab Annotation Dashboard,Statistik och översikt i TestLab,2
Task,Förloppsindikator för annoteringar,"Visa ""X av Y positioner annoterade"" med progressbar.",Highest,TestLab Annotation Dashboard,Statistik och översikt i TestLab,1
Task,Export-funktion för annoterade data,Implementera export-knapp som exporterar annoterade data som JSON eller CSV.,Highest,TestLab Annotation Dashboard,Statistik och översikt i TestLab,2
Task,Navigering med piltangenter,Lägg till keyboard event listeners för vänster/höger piltangenter för att navigera mellan positioner.,Highest,TestLab Annotation Navigation,Förbättrad navigering i TestLab,1
Task,Hoppa till nästa ej märkt-knapp,"Implementera knapp som hittar och hoppar till nästa position med status ""pending"".",Highest,TestLab Annotation Navigation,Förbättrad navigering i TestLab,2
Task,Filter för positioner baserat på status,Lägg till filter-kontroller för att visa endast pending/incorrect/correct positioner.,Highest,TestLab Annotation Navigation,Förbättrad navigering i TestLab,2
Task,Validering: position utanför track-bana,"Implementera algoritm som varnar om position ligger långt utanför track-banan (t.ex. >50m från närmaste punkt).",Medium,Data Quality Validation,Automatisk validering av GPS-data,3
Task,Detektera för snabba rörelser,"Beräkna hastighet mellan positioner och varna om hastighet överskrider realistisk gräns (t.ex. >50 km/h för gående hund).",Medium,Data Quality Validation,Automatisk validering av GPS-data,3
Task,Detektera plötsliga hopp,"Identifiera positioner där avståndet från föregående position är orimligt stort (t.ex. >100m mellan två positioner 1 sekund ifrån varandra).",Medium,Data Quality Validation,Automatisk validering av GPS-data,2
Task,Jämförelse hundspår vs människaspår,Implementera algoritm som jämför hundspår mot människaspår och identifierar avvikelser.,Medium,Data Quality Validation,Automatisk validering av GPS-data,5
Task,Beräkna avvikelse mellan tracks,"Implementera funktion som beräknar avvikelse mellan hund- och människaspår (t.ex. med DTW eller Fréchet distance).",Medium,Data Quality Validation,Kvalitetsmätningar och statistik,5
Task,Avståndsstatistik per track,"Visa statistik som genomsnittlig avvikelse, max avvikelse, procent av tid inom tröskel per track.",Medium,Data Quality Validation,Kvalitetsmätningar och statistik,3
Task,Identifiera problemområden,"Implementera funktion som identifierar områden där avvikelser är störst (t.ex. heatmap-data).",Medium,Data Quality Validation,Kvalitetsmätningar och statistik,3
Task,Export med original + korrigerad position,Exportera strukturerad data med både original och korrigerad position för varje annoterad punkt.,Medium,Data Quality ML Export,Data-export för ML-träning,2
Task,Inkludera metadata i export,"Exportera metadata som tid, noggrannhet (accuracy), korrigeringsavstånd för varje position.",Medium,Data Quality ML Export,"Data-export för ML-träning",2
Task,JSONL-format för ML-träning,"Implementera export i JSONL-format som passar för ML-träning (en JSON-objekt per rad).",Medium,Data Quality ML Export,Data-export för ML-träning,1
Task,Identifiera typer av GPS-fel,"Kategorisera GPS-fel i typer: offset (systematisk förskjutning), drift (gradvis förändring), nois (slumpmässiga variationer).",Medium,ML Machine Learning,"Dataanalys och förberedelse för ML",3
Task,Förbereda träningsdata,"Transformera annoterad data till format som passar för ML-träning (features, labels, etc.).",Medium,ML Machine Learning,"Dataanalys och förberedelse för ML",3
Task,Implementera linjär regression modell,Skapa grundläggande ML-modell med linjär regression för att förutsäga GPS-korrigeringar.,Medium,ML Machine Learning,Enkel korrigeringsmodell,5
Task,Träna modell på annoterad data,Implementera träningspipeline som tränar modellen på annoterad data.,Medium,ML Machine Learning,Enkel korrigeringsmodell,3
Task,Integration i backend för automatisk korrigering,Skapa API-endpoint som använder tränad modell för att automatiskt korrigera GPS-positioner.,Medium,ML Machine Learning,Enkel korrigeringsmodell,5
Task,Testa modellens prestanda,"Implementera validering som testar modellens prestanda på testdata (t.ex. cross-validation).",Medium,ML Machine Learning,Validering och testning av ML-modell,3
Task,Jämförelse automatiska vs manuella korrigeringar,Jämför modellens automatiska korrigeringar mot manuella korrigeringar för att mäta noggrannhet.,Medium,ML Machine Learning,Validering och testning av ML-modell,3
Task,Iterativ förbättring av modell,Implementera pipeline för att iterativt förbättra modellen baserat på ny annoterad data.,Medium,ML Machine Learning,Validering och testning av ML-modell,2
Task,Heatmap över GPS-osäkerhet,Implementera heatmap-layer som visar områden med högsta GPS-osäkerhet baserat på korrigeringsavstånd.,Low-Medium,Visualization UI,Heatmap-visualisering,5
Task,Heatmap över korrigeringsavstånd,Skapa heatmap som visualiserar korrigeringsavstånd för att identifiera problemområden.,Low-Medium,Visualization UI,Heatmap-visualisering,3
Task,Visual identifiering av problemområden,Kombinera heatmap med interaktiva verktyg för att identifiera problemområden visuellt.,Low-Medium,Visualization UI,Heatmap-visualisering,2
Task,Visa original och korrigerad track samtidigt,Implementera visualisering som visar både original och korrigerad track med olika färger/linjestil.,Low-Medium,Visualization UI,Förbättrad track-visualisering,3
Task,Animation av hundens rörelse,"Skapa animation som visar hundens rörelse över tiden (t.ex. marker som rör sig längs tracken).",Low-Medium,Visualization UI,Förbättrad track-visualisering,5
Task,3D-visualisering av elevation,"Om elevation-data finns, implementera 3D-visualisering av elevation längs tracken.",Low-Medium,Visualization UI,"Förbättrad track-visualisering",8
Task,Zooma in på specifika avvikelser,Implementera funktion som automatiskt zoomar in på största avvikelser.,Low-Medium,Visualization UI,Interaktiva analysverktyg,2
Task,Jämförelse mellan olika tracks,Skapa verktyg som låter användaren jämföra två eller flera tracks sida vid sida.,Low-Medium,Visualization UI,Interaktiva analysverktyg,5
Task,Export av visualiseringar,Implementera export-funktion som kan exportera screenshots eller video av visualiseringar.,Low-Medium,Visualization UI,Interaktiva analysverktyg,3
Task,Lazy loading av positions,Implementera lazy loading så att endast synliga positions laddas för stora tracks.,Medium,Performance Optimization,Optimering av kartvisning,5
Task,Clustering av markörer vid låg zoom,Implementera marker clustering så att många markörer grupperas ihop vid låg zoom.,Medium,Performance Optimization,Optimering av kartvisning,3
Task,Debouncing av kartuppdateringar,Implementera debouncing för kartuppdateringar för att minska antal renders.,Medium,Performance Optimization,Optimering av kartvisning,2
Task,Indexering för snabbare queries,"Lägg till databas-index på vanliga query-fält (t.ex. track_id, timestamp).",Medium,Performance Optimization Database,"Databasoptimering",2
Task,Paginering av positions-listor,Implementera paginering för positions-listor i API:er för att minska query-tid.,Medium,Performance Optimization Database,Databasoptimering,3
Task,Caching av ofta använda queries,"Implementera caching (t.ex. Redis eller in-memory cache) för ofta använda queries.",Medium,Performance Optimization Database,Databasoptimering,5
Task,Memoization av beräkningar,Använd React.memo och useMemo för att memoize beräkningar i frontend.,Medium,Performance Optimization Frontend,Frontend-prestanda,3
Task,Virtualisering av långa listor,Använd react-window eller liknande för att virtualisera långa listor i UI.,Medium,Performance Optimization Frontend,Frontend-prestanda,3
Task,Optimering av re-renders,Analysera och optimera re-renders med React DevTools och useCallback.,Medium,Performance Optimization Frontend,Frontend-prestanda,2
Task,Realtids-synkronisering mellan användare,Implementera WebSocket eller liknande för realtids-synkronisering mellan användare.,Low,Advanced Features,Flera samtidiga användare,8
Task,Konflikthantering för samtidiga redigeringar,Implementera strategi för att hantera konflikter när flera användare redigerar samma data samtidigt.,Low,Advanced Features,Flera samtidiga användare,5
Task,Användarhantering och behörigheter,"Implementera användarhantering med roller och behörigheter (admin, editor, viewer, etc.).",Low,Advanced Features,"Flera samtidiga användare",8
Task,Mobilapp med React Native,Skapa React Native-app för iOS och Android med GPS-spårning.,Low,Advanced Features Mobile,Mobilapp,13
Task,Mobilapp som PWA,"Alternativt skapa Progressive Web App (PWA) med offline-stöd istället för native app.",Low,Advanced Features Mobile,Mobilapp,5
Task,GPS-spårning direkt från mobilen,Implementera GPS-spårning som fungerar när appen körs i bakgrunden.,Low,Advanced Features Mobile,Mobilapp,8
Task,Offline-stöd i mobilapp,Implementera offline-stöd så att data sparas lokalt och synkas när anslutning återställs.,Low,Advanced Features Mobile,Mobilapp,5
Task,REST API för externa system,Dokumentera och testa REST API för externa system att integrera med.,Low,Advanced Features API,API för extern integration,3
Task,Webhooks för händelser,"Implementera webhook-system så att externa system kan få notiser om händelser (t.ex. ny position, avvikelse).",Low,Advanced Features API,"API för extern integration",5
Task,OAuth-autentisering,Implementera OAuth 2.0 för autentisering av externa system.,Low,Advanced Features API,API för extern integration,5
Task,API-endpoint för tile-status,Skapa GET /api/tiles/status endpoint som returnerar information om tillgängliga lokala tiles.,Medium,Tech Improvements Backend,Backend-förbättringar,2
Task,Förbättrad felhantering och logging,"Implementera konsekvent felhantering och logging (t.ex. med structlog eller liknande).",Medium,Tech Improvements Backend,Backend-förbättringar,3
Task,API-dokumentation med exempel,Förbättra Swagger/OpenAPI-dokumentation med exempel och bättre beskrivningar.,Medium,Tech Improvements Backend,Backend-förbättringar,2
Task,Automatiska backups av databas,"Implementera automatiska backups av databas (t.ex. daglig backup till S3 eller liknande).",Medium,Tech Improvements Backend,Backend-förbättringar,3
Task,Förbättrad responsiv design för mobil,"Optimera UI för mobil-skärmar (t.ex. mindre knappar, bättre touch-targets).",Medium,Tech Improvements Frontend,"Frontend-förbättringar",3
Task,Tillgänglighetsförbättringar (a11y),"Förbättra tillgänglighet med ARIA-labels, keyboard-navigation, screen reader support.",Medium,Tech Improvements Frontend,"Frontend-förbättringar",5
Task,Dark mode support,Implementera dark mode som kan växlas av användaren.,Medium,Tech Improvements Frontend,Frontend-förbättringar,3
Task,Internationellisering (i18n),"Implementera i18n för engelska och svenska med react-i18next eller liknande.",Medium,Tech Improvements Frontend,Frontend-förbättringar,5
Task,CI/CD pipeline,Skapa CI/CD pipeline med GitHub Actions eller liknande för automatisk build och deployment.,Medium,Tech Improvements DevOps,DevOps-förbättringar,5
Task,Automatiserade tester,"Implementera automatiserade tester (unit, integration, E2E) med pytest, jest, cypress.",Medium,Tech Improvements DevOps,"DevOps-förbättringar",8
Task,Docker Compose för lokal utveckling,Skapa docker-compose.yml för enkel lokal utveckling med alla services.,Medium,Tech Improvements DevOps,DevOps-förbättringar,3
Task,Monitoring och alerting,"Implementera monitoring (t.ex. Prometheus) och alerting för att övervaka systemets hälsa.",Medium,Tech Improvements DevOps,DevOps-förbättringar,5
